,0
0,2023-09-01
1,2023-12-01
2,2024-03-01
3,2024-06-01
4,2024-09-01
5,2024-12-01
6,2025-03-01
7,2025-06-01
8,2025-09-01
9,2025-12-01
10,2026-03-01
11,2026-06-01
12,2026-09-01
13,2026-12-01
14,2027-03-01
15,2027-06-01
16,2027-09-01
17,2027-12-01
18,2028-03-01
19,2028-06-01
20,2028-09-01
21,2028-12-01
22,2029-03-01
23,2029-06-01
24,2029-09-01
25,2029-12-01
26,2030-03-01
27,2030-06-01
28,2030-09-01
29,2030-12-01
30,2031-03-01
31,2031-06-01
32,2031-09-01
33,2031-12-01
34,2032-03-01
35,2032-06-01
36,2032-09-01
37,2032-12-01
38,2033-03-01
39,2033-06-01
40,2033-09-01
41,2033-12-01
42,2034-03-01
43,2034-06-01
44,2034-09-01
45,2034-12-01
46,2035-03-01
47,2035-06-01
48,2035-09-01
49,2035-12-01
50,2036-03-01
51,2036-06-01
52,2036-09-01
53,2036-12-01
54,2037-03-01
55,2037-06-01
56,2037-09-01
57,2037-12-01
58,2038-03-01
59,2038-06-01
60,2038-09-01
61,2038-12-01
62,2039-03-01
63,2039-06-01
64,2039-09-01
65,2039-12-01
66,2040-03-01
67,2040-06-01
68,2040-09-01
69,2040-12-01
70,2041-03-01
71,2041-06-01
72,2041-09-01
73,2041-12-01
74,2042-03-01
75,2042-06-01
76,2042-09-01
77,2042-12-01
78,2043-03-01
79,2043-06-01
80,2043-09-01
81,2043-12-01
82,2044-03-01
83,2044-06-01
84,2044-09-01
85,2044-12-01
86,2045-03-01
87,2045-06-01
88,2045-09-01
89,2045-12-01
90,2046-03-01
91,2046-06-01
92,2046-09-01
93,2046-12-01
94,2047-03-01
95,2047-06-01
96,2047-09-01
97,2047-12-01
98,2048-03-01
99,2048-06-01
100,2048-09-01
101,2048-12-01
102,2049-03-01
103,2049-06-01
104,2049-09-01
105,2049-12-01
106,2050-03-01
107,2050-06-01
108,2050-09-01
109,2050-12-01
110,2051-03-01
111,2051-06-01
112,2051-09-01
113,2051-12-01
114,2052-03-01
115,2052-06-01
116,2052-09-01
117,2052-12-01
118,2053-03-01
119,2053-06-01
120,2053-09-01
121,2053-12-01
122,2054-03-01
123,2054-06-01
124,2054-09-01
125,2054-12-01
126,2055-03-01
127,2055-06-01
128,2055-09-01
129,2055-12-01
130,2056-03-01
131,2056-06-01
132,2056-09-01
133,2056-12-01
134,2057-03-01
135,2057-06-01
136,2057-09-01
137,2057-12-01
138,2058-03-01
139,2058-06-01
140,2058-09-01
141,2058-12-01
142,2059-03-01
143,2059-06-01
144,2059-09-01
145,2059-12-01
146,2060-03-01
147,2060-06-01
148,2060-09-01
149,2060-12-01
150,2061-03-01
151,2061-06-01
152,2061-09-01
153,2061-12-01
154,2062-03-01
155,2062-06-01
156,2062-09-01
157,2062-12-01
158,2063-03-01
159,2063-06-01
160,2063-09-01
161,2063-12-01
162,2064-03-01
163,2064-06-01
164,2064-09-01
165,2064-12-01
166,2065-03-01
167,2065-06-01
168,2065-09-01
169,2065-12-01
170,2066-03-01
171,2066-06-01
172,2066-09-01
173,2066-12-01
174,2067-03-01
175,2067-06-01
176,2067-09-01
177,2067-12-01
178,2068-03-01
179,2068-06-01
180,2068-09-01
181,2068-12-01
182,2069-03-01
183,2069-06-01
184,2069-09-01
185,2069-12-01
186,2070-03-01
187,2070-06-01
188,2070-09-01
189,2070-12-01
190,2071-03-01
191,2071-06-01
192,2071-09-01
193,2071-12-01
194,2072-03-01
195,2072-06-01
196,2072-09-01
197,2072-12-01
198,2073-03-01
199,2073-06-01
200,2023-07-01
201,2023-08-01
202,2023-10-01
203,2023-11-01
204,2024-01-01
205,2024-02-01
206,2024-04-01
207,2024-05-01
208,2024-07-01
209,2024-08-01
210,2024-10-01
211,2024-11-01
212,2025-01-01
213,2025-02-01
214,2025-04-01
215,2025-05-01
216,2025-07-01
217,2025-08-01
218,2025-10-01
219,2025-11-01
220,2026-01-01
221,2026-02-01
222,2026-04-01
223,2026-05-01
224,2026-07-01
225,2026-08-01
226,2026-10-01
227,2026-11-01
228,2027-01-01
229,2027-02-01
230,2027-04-01
231,2027-05-01
232,2027-07-01
233,2027-08-01
234,2027-10-01
235,2027-11-01
236,2028-01-01
237,2028-02-01
238,2028-04-01
239,2028-05-01
240,2028-07-01
241,2028-08-01
242,2028-10-01
243,2028-11-01
244,2029-01-01
245,2029-02-01
246,2029-04-01
247,2029-05-01
248,2029-07-01
249,2029-08-01
250,2029-10-01
251,2029-11-01
252,2030-01-01
253,2030-02-01
254,2030-04-01
255,2030-05-01
256,2030-07-01
257,2030-08-01
258,2030-10-01
259,2030-11-01
260,2031-01-01
261,2031-02-01
262,2031-04-01
263,2031-05-01
264,2031-07-01
265,2031-08-01
266,2031-10-01
267,2031-11-01
268,2032-01-01
269,2032-02-01
270,2032-04-01
271,2032-05-01
272,2032-07-01
273,2032-08-01
274,2032-10-01
275,2032-11-01
276,2033-01-01
277,2033-02-01
278,2033-04-01
279,2033-05-01
280,2033-07-01
281,2033-08-01
282,2033-10-01
283,2033-11-01
284,2034-01-01
285,2034-02-01
286,2034-04-01
287,2034-05-01
288,2034-07-01
289,2034-08-01
290,2034-10-01
291,2034-11-01
292,2035-01-01
293,2035-02-01
294,2035-04-01
295,2035-05-01
296,2035-07-01
297,2035-08-01
298,2035-10-01
299,2035-11-01
300,2036-01-01
301,2036-02-01
302,2036-04-01
303,2036-05-01
304,2036-07-01
305,2036-08-01
306,2036-10-01
307,2036-11-01
308,2037-01-01
309,2037-02-01
310,2037-04-01
311,2037-05-01
312,2037-07-01
313,2037-08-01
314,2037-10-01
315,2037-11-01
316,2038-01-01
317,2038-02-01
318,2038-04-01
319,2038-05-01
320,2038-07-01
321,2038-08-01
322,2038-10-01
323,2038-11-01
324,2039-01-01
325,2039-02-01
326,2039-04-01
327,2039-05-01
328,2039-07-01
329,2039-08-01
330,2039-10-01
331,2039-11-01
332,2040-01-01
333,2040-02-01
334,2040-04-01
335,2040-05-01
336,2040-07-01
337,2040-08-01
338,2040-10-01
339,2040-11-01
340,2041-01-01
341,2041-02-01
342,2041-04-01
343,2041-05-01
344,2041-07-01
345,2041-08-01
346,2041-10-01
347,2041-11-01
348,2042-01-01
349,2042-02-01
350,2042-04-01
351,2042-05-01
352,2042-07-01
353,2042-08-01
354,2042-10-01
355,2042-11-01
356,2043-01-01
357,2043-02-01
358,2043-04-01
359,2043-05-01
360,2043-07-01
361,2043-08-01
362,2043-10-01
363,2043-11-01
364,2044-01-01
365,2044-02-01
366,2044-04-01
367,2044-05-01
368,2044-07-01
369,2044-08-01
370,2044-10-01
371,2044-11-01
372,2045-01-01
373,2045-02-01
374,2045-04-01
375,2045-05-01
376,2045-07-01
377,2045-08-01
378,2045-10-01
379,2045-11-01
380,2046-01-01
381,2046-02-01
382,2046-04-01
383,2046-05-01
384,2046-07-01
385,2046-08-01
386,2046-10-01
387,2046-11-01
388,2047-01-01
389,2047-02-01
390,2047-04-01
391,2047-05-01
392,2047-07-01
393,2047-08-01
394,2047-10-01
395,2047-11-01
396,2048-01-01
397,2048-02-01
398,2048-04-01
399,2048-05-01
400,2048-07-01
401,2048-08-01
402,2048-10-01
403,2048-11-01
404,2049-01-01
405,2049-02-01
406,2049-04-01
407,2049-05-01
408,2049-07-01
409,2049-08-01
410,2049-10-01
411,2049-11-01
412,2050-01-01
413,2050-02-01
414,2050-04-01
415,2050-05-01
416,2050-07-01
417,2050-08-01
418,2050-10-01
419,2050-11-01
420,2051-01-01
421,2051-02-01
422,2051-04-01
423,2051-05-01
424,2051-07-01
425,2051-08-01
426,2051-10-01
427,2051-11-01
428,2052-01-01
429,2052-02-01
430,2052-04-01
431,2052-05-01
432,2052-07-01
433,2052-08-01
434,2052-10-01
435,2052-11-01
436,2053-01-01
437,2053-02-01
438,2053-04-01
439,2053-05-01
440,2053-07-01
441,2053-08-01
442,2053-10-01
443,2053-11-01
444,2054-01-01
445,2054-02-01
446,2054-04-01
447,2054-05-01
448,2054-07-01
449,2054-08-01
450,2054-10-01
451,2054-11-01
452,2055-01-01
453,2055-02-01
454,2055-04-01
455,2055-05-01
456,2055-07-01
457,2055-08-01
458,2055-10-01
459,2055-11-01
460,2056-01-01
461,2056-02-01
462,2056-04-01
463,2056-05-01
464,2056-07-01
465,2056-08-01
466,2056-10-01
467,2056-11-01
468,2057-01-01
469,2057-02-01
470,2057-04-01
471,2057-05-01
472,2057-07-01
473,2057-08-01
474,2057-10-01
475,2057-11-01
476,2058-01-01
477,2058-02-01
478,2058-04-01
479,2058-05-01
480,2058-07-01
481,2058-08-01
482,2058-10-01
483,2058-11-01
484,2059-01-01
485,2059-02-01
486,2059-04-01
487,2059-05-01
488,2059-07-01
489,2059-08-01
490,2059-10-01
491,2059-11-01
492,2060-01-01
493,2060-02-01
494,2060-04-01
495,2060-05-01
496,2060-07-01
497,2060-08-01
498,2060-10-01
499,2060-11-01
500,2061-01-01
501,2061-02-01
502,2061-04-01
503,2061-05-01
504,2061-07-01
505,2061-08-01
506,2061-10-01
507,2061-11-01
508,2062-01-01
509,2062-02-01
510,2062-04-01
511,2062-05-01
512,2062-07-01
513,2062-08-01
514,2062-10-01
515,2062-11-01
516,2063-01-01
517,2063-02-01
518,2063-04-01
519,2063-05-01
520,2063-07-01
521,2063-08-01
522,2063-10-01
523,2063-11-01
524,2064-01-01
525,2064-02-01
526,2064-04-01
527,2064-05-01
528,2064-07-01
529,2064-08-01
530,2064-10-01
531,2064-11-01
532,2065-01-01
533,2065-02-01
534,2065-04-01
535,2065-05-01
536,2065-07-01
537,2065-08-01
538,2065-10-01
539,2065-11-01
540,2066-01-01
541,2066-02-01
542,2066-04-01
543,2066-05-01
544,2066-07-01
545,2066-08-01
546,2066-10-01
