,Start cash,End cash,Start market value,After growth market value,End market value,Portfolio return,Dividend cash flow,Coupon cash flow,Terminal cash flow,Notional cash flow,Liability cash flow,UL gross premium cash flow,UL entry fee cash flow,UL admin fee cash flow,UL mortality cash flow,UL lapse cash flow,UL reserve,Company account,UL policies in force,UL deaths,UL lapses
2023-04-29,,100000.0,,,605279.0,,,,,,,,,,,,720000.0,0.0,5.0,,
2024-04-28,100000.0,-8.731149137020111e-11,605279.0,616059.2877598787,560478.4899122053,0.01781044404295984,11067.520563355192,67460.0,0.0,0.0,,27029.633633546677,540.5926726709337,3793.970700666223,-261137.95204457536,-0.0,494380.63792656525,4334.563373337157,4.0,1.0,0.0
2025-04-28,-8.731149137020111e-11,5.820766091346741e-11,560478.4899122053,525750.8612616009,616684.9067452088,-0.0619606805178986,10313.40065623267,61373.76658496953,0.0,0.0,,19246.878242405866,384.93756484811735,2411.404578259369,-0.0,-0.0,480199.01326506084,7130.905516444644,4.0,0.0,0.0
2026-04-28,5.820766091346741e-11,0.0,616684.9067452088,520446.07223249815,568131.1480257062,-0.15605835891241127,12391.725595225764,53207.400442349855,0.0,117384.958857972,,19631.549716291,392.63099432582,2121.0451774511,-0.0,-154930.55881863064,267447.2580294396,9644.581688221562,2.0,0.0,2.0
2027-04-28,0.0,2.9103830456733704e-11,568131.1480257062,454518.12689830177,625500.3437338519,-0.1999767510058501,13858.341563090045,17077.590765230347,0.0,128140.17627389754,,11906.108233332245,238.1221646666449,1127.3898007511227,-0.0,-0.0,224504.6205712035,11010.09365363933,2.0,0.0,0.0
2028-04-27,2.9103830456733704e-11,3.637978807091713e-11,625500.3437338519,625788.3427712552,675685.3196578664,0.0004604298627304271,19541.344435750096,18211.566656584728,0.0,0.0,,12144.065794276386,242.88131588552773,1181.7384853892731,-0.0,-0.0,235327.43519583705,12434.71345491413,2.0,0.0,0.0
2029-04-27,3.637978807091713e-11,-1.1641532182693481e-10,675685.3196578664,580992.8587982742,825072.0345129388,-0.14014284180029213,21623.594545015218,19663.658455719993,0.0,190405.14349728863,,12386.779216640633,247.73558433281266,1071.7029116138392,-0.0,-0.0,213415.32039461232,13754.151950860782,2.0,0.0,0.0
2030-04-27,-1.1641532182693481e-10,-1.0186340659856796e-10,825072.0345129388,843132.7632457585,888124.9503616691,0.02188988109805634,31472.91224766022,884.9313163474847,0.0,0.0,,12634.343551902894,252.68687103805786,1151.5563032595803,-0.0,-0.0,229317.05676015923,15158.39512515842,2.0,0.0,0.0
2031-04-27,-1.0186340659856796e-10,1.0186340659856796e-10,888124.9503616691,881268.603739461,962395.2761069422,-0.007720024777387424,33983.1569586994,595.5428360718706,0.0,33661.11682145356,,12886.855751256531,257.7371150251306,1200.0593100783774,-0.0,-0.0,238975.78272624628,16616.191550261927,2.0,0.0,0.0
2032-04-26,1.0186340659856796e-10,-5.820766091346741e-11,962395.2761069422,985237.1380193515,1036711.1479197788,0.023734386981624223,38046.82713621093,282.768060637802,0.0,0.0,,13144.414703578415,262.88829407156834,1286.7671239145127,-0.0,-0.0,256242.48571829987,18165.846968248006,2.0,0.0,0.0
2033-04-26,-5.820766091346741e-11,2.1827872842550278e-11,1036711.1479197788,1061481.1122040446,1116237.9168872735,0.02389283103009765,41052.14204626165,297.54136281158685,0.0,0.0,,13407.121274155797,268.14242548311597,1376.5786139327745,-0.0,-0.0,274127.2443670393,19810.568007663896,2.0,0.0,0.0
2034-04-26,2.1827872842550278e-11,0.0,1116237.9168872735,1143083.815700423,1032366.46240453,0.024050337662790966,44270.262306061326,312.89011852785814,0.0,0.0,,13675.078344187197,273.501566883744,1469.6043120226855,-168975.58406466935,-0.0,123676.4855572484,21553.673886570326,1.0,1.0,0.0
2035-04-26,0.0,-3.637978807091713e-11,1032366.46240453,1057310.6672515362,1104940.6995364658,0.024162161166014107,41007.27056602906,282.5840593220285,0.0,0.0,,6340.177659578527,126.80355319157054,663.9371415113542,-0.0,-0.0,132214.21369860444,22344.41458127325,1.0,0.0,0.0
2036-04-25,-3.637978807091713e-11,-1.3096723705530167e-10,1104940.6995364658,1107172.078454102,1187425.053097566,0.0020194558120378847,43959.36844139845,295.3139865663099,0.0,29531.39865663099,,6466.893558868114,129.33787117736227,693.6199582689159,-0.0,-0.0,138125.15019031396,23167.372410719527,1.0,0.0,0.0
2037-04-25,-1.3096723705530167e-10,-2.1100277081131935e-10,1187425.053097566,1217435.7349089184,1272403.2732673306,0.025273748210942193,48371.39633413486,0.0,0.0,0.0,,6596.142024277282,131.92284048554563,739.8960391604734,-0.0,-0.0,147340.4136024538,24039.191290365547,1.0,0.0,0.0
2038-04-25,-2.1100277081131935e-10,4.3655745685100555e-11,1272403.2732673306,1304765.9128413184,1363367.2578159072,0.025434263062594553,51873.37130247377,0.0,0.0,0.0,,6727.973672115317,134.55947344230634,787.8683287035885,-0.0,-0.0,156893.4543117395,24961.619092511442,1.0,0.0,0.0
