Country,Euro_Maturities,Euro_Values,Austria_Maturities,Austria_Values,Belgium_Maturities,Belgium_Values,Bulgaria_Maturities,Bulgaria_Values,Croatia_Maturities,Croatia_Values,Cyprus_Maturities,Cyprus_Values,Czech Republic_Maturities,Czech Republic_Values,Denmark_Maturities,Denmark_Values,Estonia_Maturities,Estonia_Values,Finland_Maturities,Finland_Values,France_Maturities,France_Values,Germany_Maturities,Germany_Values,Greece_Maturities,Greece_Values,Hungary_Maturities,Hungary_Values,Iceland_Maturities,Iceland_Values,Ireland_Maturities,Ireland_Values,Italy_Maturities,Italy_Values,Latvia_Maturities,Latvia_Values,Liechtenstein_Maturities,Liechtenstein_Values,Lithuania_Maturities,Lithuania_Values,Luxembourg_Maturities,Luxembourg_Values,Malta_Maturities,Malta_Values,Netherlands_Maturities,Netherlands_Values,Norway_Maturities,Norway_Values,Poland_Maturities,Poland_Values,Portugal_Maturities,Portugal_Values,Romania_Maturities,Romania_Values,Russia_Maturities,Russia_Values,Slovakia_Maturities,Slovakia_Values,Slovenia_Maturities,Slovenia_Values,Spain_Maturities,Spain_Values,Sweden_Maturities,Sweden_Values,Switzerland_Maturities,Switzerland_Values,United Kingdom_Maturities,United Kingdom_Values,Australia_Maturities,Australia_Values,Brazil_Maturities,Brazil_Values,Canada_Maturities,Canada_Values,Chile_Maturities,Chile_Values,China_Maturities,China_Values,Colombia_Maturities,Colombia_Values,Hong Kong_Maturities,Hong Kong_Values,India_Maturities,India_Values,Japan_Maturities,Japan_Values,Malaysia_Maturities,Malaysia_Values,Mexico_Maturities,Mexico_Values,New Zealand_Maturities,New Zealand_Values,Singapore_Maturities,Singapore_Values,South Africa_Maturities,South Africa_Values,South Korea_Maturities,South Korea_Values,Taiwan_Maturities,Taiwan_Values,Thailand_Maturities,Thailand_Values,Turkey_Maturities,Turkey_Values,United States_Maturities,United States_Values
Coupon_freq,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,2,2,0,0,4,4,0,0,4,4,0,0,1,1,0,0,13,13,2,2,2,2,4,4,4,4,0,0,0,0,0,0,1,1
LLP,20,20,20,20,20,20,20,20,20,20,20,20,15,15,20,20,20,20,20,20,20,20,20,20,20,20,15,15,9,9,20,20,20,20,20,20,10,10,20,20,20,20,20,20,20,20,10,10,10,10,20,20,10,10,14,14,20,20,20,20,20,20,10,10,10,10,50,50,30,30,10,10,30,30,10,10,10,10,10,10,15,15,10,10,30,30,20,20,10,10,20,20,10,10,15,15,20,20,10,10,15,15,9,9,30,30
Convergence,40,40,40,40,40,40,40,40,40,40,40,40,45,45,40,40,40,40,40,40,40,40,40,40,40,40,45,45,51,51,40,40,40,40,40,40,50,50,40,40,40,40,40,40,40,40,50,50,50,50,40,40,50,50,46,46,40,40,40,40,40,40,10,10,50,50,40,40,40,40,50,50,40,40,50,50,50,50,50,50,45,45,50,50,40,40,40,40,50,50,40,40,50,50,45,45,40,40,50,50,45,45,51,51,40,40
UFR,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,4.5,4.5,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,2.45,2.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,5.1,5.1,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,2.45,2.45,3.45,3.45,3.45,3.45,5.2,5.2,3.45,3.45,4.5,4.5,4.5,4.5,4.5,4.5,3.45,3.45,5.5,5.5,3.5,3.5,3.45,3.45,4.45,4.45,3.45,3.45,3.45,3.45,5.5,5.5,3.45,3.45,3.45,3.45,3.45,3.45,5.5,5.5,3.45,3.45
alpha,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.118244,0.118244,0.117567,0.117567,0.117567,0.117567,0.092503,0.092503,0.117704,0.117704,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.12548,0.12548,0.062927,0.062927,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.072805,0.072805,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.072916,0.072916,0.114587,0.114587,0.117567,0.117567,0.124813,0.124813,0.152102,0.152102,0.117567,0.117567,0.117567,0.117567,0.117567,0.117567,0.397593,0.397593,0.072805,0.072805,0.105145,0.105145,0.107044,0.107044,0.14961,0.14961,0.076262,0.076262,0.05,0.05,0.086273,0.086273,0.145017,0.145017,0.05,0.05,0.109017,0.109017,0.128469,0.128469,0.121867,0.121867,0.123741,0.123741,0.114647,0.114647,0.075956,0.075956,0.144142,0.144142,0.10619,0.10619,0.102052,0.102052,0.05,0.05,0.120605,0.120605,0.11177,0.11177
CRA,10,10,10,10,10,10,15,15,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,14,14,10,10,26,26,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,0,0
1,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-1.760790438,1,-1.792554734,1,-1.792554734,1,-61.82019202,1,-1.786033401,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-38.93213979,1,-31.87990102,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-0.010934754,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-0.192974544,1,-3.404986586,1,-1.792554734,1,6.144064102,1,-3.376887664,1,-1.792554734,1,-1.792554734,1,-1.792554734,1,-0.002240436,1,-0.010934754,1,-9.037081932,0.5,-0.043188994,1,-20.05448748,0.5,-0.308507077,1,-327.8850754,0.25,0.02653595,1,4.556630557,0.25,-0.860067624,1,-1.338114806,1,1.570892965,1,11.98972188,0.076923077,-0.213484728,0.5,-0.155959424,0.5,-0.247934579,0.25,-0.060916118,0.25,-0.048790227,1,-1.028202816,1,-44.74413412,1,-34.83335057,1,-23.81483416
2,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,-1.96541931,2,-1.996018737,2,-1.996018737,2,25.90110174,2,-1.989774601,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,13.43482746,2,11.79043285,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,-1.358444325,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,-9.468735245,2,3.463882092,2,-1.996018737,2,-1.804858332,2,1.959941087,2,-1.996018737,2,-1.996018737,2,-1.996018737,2,-0.186096297,2,-1.358444325,2,2.247343723,1,-3.22027778,2,14.93907925,1,-0.303319187,2,161.8269074,0.5,0.026245543,2,-3.755856687,0.5,-0.852805467,2,2.435425602,2,-1.828148244,2,-7.761507314,0.153846154,-0.212770942,1,-6.747789588,1,-29.4332158,0.5,-0.060106177,0.5,-0.048378257,2,0.333858069,2,29.75388169,2,21.37737937,2,9.19355452
3,3,0.519821817,3,0.519821817,3,0.519821817,3,0.509437348,3,0.519821817,3,0.519821817,3,0.090182042,3,0.517706308,3,0.519821817,3,0.519821817,3,0.519821817,3,0.519821817,3,0.519821817,3,-3.94062655,3,-6.438808004,3,0.519821817,3,0.519821817,3,0.519821817,3,0.014906133,3,0.519821817,3,0.519821817,3,0.519821817,3,0.519821817,3,0.133275795,3,-2.966352235,3,0.519821817,3,-1.83860078,3,-0.022251694,3,0.519821817,3,0.519821817,3,0.519821817,3,0.11171839,3,0.014906133,3,1.102362724,1.5,0.014818172,3,-2.949743706,1.5,-0.298218537,3,-36.163112,0.75,0.025958315,3,1.214575043,0.75,-0.845604629,3,-2.354850644,3,0.497403517,3,1.936495096,0.230769231,-0.212059543,1.5,0.019370344,1.5,0.242470338,0.75,-0.059307005,0.75,-0.047969765,3,0.010663223,3,-14.66958366,3,-5.927232944,3,0.61021589
4,4,0.677358546,4,0.677358546,4,0.677358546,4,0.665686564,4,0.677358546,4,0.677358546,4,0.087174521,4,0.674974925,4,0.677358546,4,0.677358546,4,0.677358546,4,0.677358546,4,0.677358546,4,3.184840529,4,-7.408104345,4,0.677358546,4,0.677358546,4,0.677358546,4,0.014549667,4,0.677358546,4,0.677358546,4,0.677358546,4,0.677358546,4,0.128831122,4,1.685141554,4,0.677358546,4,0.584243964,4,0.110033142,4,0.677358546,4,0.677358546,4,0.677358546,4,0.00052859,4,0.014549667,4,-0.905821835,2,4.428439602,4,0.927340001,2,-33.10769563,4,18.36878423,1,4.595992599,4,0.241609372,1,-169.7851377,4,1.134573725,4,0.004278532,4,0.05186682,0.307692308,-0.211350522,2,-2.889553179,2,19.79792431,1,-6.353247213,1,-10.06712299,4,0.042413299,4,10.29283853,4,2.657763342,4,1.367942537
