NACE,NACE code text,sSpread
A,"Agriculture, forestry and fishing",0.01
A1,"Crop and animal production, hunting and related service activities",0.01
A1.1,Growing of non-perennial crops,0.01
A1.1.1,"Growing of cereals (except rice), leguminous crops and oil seeds",0.01
A1.1.2,Growing of rice,0.01
A1.1.3,"Growing of vegetables and melons, roots and tubers",0.01
A1.1.4,Growing of sugar cane,0.01
A1.1.5,Growing of tobacco,0.01
A1.1.6,Growing of fibre crops,0.01
A1.1.9,Growing of other non-perennial crops,0.01
A1.2,Growing of perennial crops,0.01
A1.2.1,Growing of grapes,0.01
A1.2.2,Growing of tropical and subtropical fruits,0.01
A1.2.3,Growing of citrus fruits,0.01
A1.2.4,Growing of pome fruits and stone fruits,0.01
A1.2.5,Growing of other tree and bush fruits and nuts,0.01
A1.2.6,Growing of oleaginous fruits,0.01
A1.2.7,Growing of beverage crops,0.01
A1.2.8,"Growing of spices, aromatic, drug and pharmaceutical crops",0.01
A1.2.9,Growing of other perennial crops,0.01
A1.3,Plant propagation,0.01
A1.3.0,Plant propagation,0.01
A1.4,Animal production,0.01
A1.4.1,Raising of dairy cattle,0.01
A1.4.2,Raising of other cattle and buffaloes,0.01
A1.4.3,Raising of horses and other equines,0.01
A1.4.4,Raising of camels and camelids,0.01
A1.4.5,Raising of sheep and goats,0.01
A1.4.6,Raising of swine/pigs,0.01
A1.4.7,Raising of poultry,0.01
A1.4.9,Raising of other animals,0.01
A1.5,Mixed farming,0.01
A1.5.0,Mixed farming,0.01
A1.6,Support activities to agriculture and post-harvest crop activities,0.01
A1.6.1,Support activities for crop production,0.01
A1.6.2,Support activities for animal production,0.01
A1.6.3,Post-harvest crop activities,0.01
A1.6.4,Seed processing for propagation,0.01
A1.7,"Hunting, trapping and related service activities",0.01
A1.7.0,"Hunting, trapping and related service activities",0.01
A2,Forestry and logging,0.01
A2.1,Silviculture and other forestry activities,0.01
A2.1.0,Silviculture and other forestry activities,0.01
A2.2,Logging,0.01
A2.2.0,Logging,0.01
A2.3,Gathering of wild growing non-wood products,0.01
A2.3.0,Gathering of wild growing non-wood products,0.01
A2.4,Support services to forestry,0.01
A2.4.0,Support services to forestry,0.01
A3,Fishing and aquaculture,0.01
A3.1,Fishing,0.01
A3.1.1,Marine fishing,0.01
A3.1.2,Freshwater fishing,0.01
A3.2,Aquaculture,0.01
A3.2.1,Marine aquaculture,0.01
A3.2.2,Freshwater aquaculture,0.01
B,Mining and quarrying,0.01
B5,Mining of coal and lignite,0.01
B5.1,Mining of hard coal,0.01
B5.1.0,Mining of hard coal,0.01
B5.2,Mining of lignite,0.01
B5.2.0,Mining of lignite,0.01
B6,Extraction of crude petroleum and natural gas,0.01
B6.1,Extraction of crude petroleum,0.01
B6.1.0,Extraction of crude petroleum,0.01
B6.2,Extraction of natural gas,0.01
B6.2.0,Extraction of natural gas,0.01
B7,Mining of metal ores,0.01
