AGE,MALE,FEMALE
0,0.002061,0.001557
1,0.000393,0.000224
2,0.000393,0.000224
3,0.000393,0.000224
4,0.000393,0.000224
5,0.000367,0.000099
6,0.000367,0.000099
7,0.000367,0.000099
8,0.000367,0.000099
9,0.000367,0.000099
10,0.000856,0.000090
11,0.000856,0.000090
12,0.000856,0.000090
13,0.000856,0.000090
14,0.000856,0.000090
15,0.002348,0.000615
16,0.002348,0.000615
17,0.002348,0.000615
18,0.002348,0.000615
19,0.002348,0.000615
20,0.001897,0.001046
21,0.001897,0.001046
22,0.001897,0.001046
23,0.001897,0.001046
24,0.001897,0.001046
25,0.002539,0.001454
26,0.002539,0.001454
27,0.002539,0.001454
28,0.002539,0.001454
29,0.002539,0.001454
30,0.003322,0.001721
31,0.003322,0.001721
32,0.003322,0.001721
33,0.003322,0.001721
34,0.003322,0.001721
35,0.004706,0.001990
36,0.004706,0.001990
37,0.004706,0.001990
38,0.004706,0.001990
39,0.004706,0.001990
40,0.006732,0.002746
41,0.006732,0.002746
42,0.006732,0.002746
43,0.006732,0.002746
44,0.006732,0.002746
45,0.012103,0.006351
46,0.012103,0.006351
47,0.012103,0.006351
48,0.012103,0.006351
49,0.012103,0.006351
50,0.020122,0.009009
51,0.020122,0.009009
52,0.020122,0.009009
53,0.020122,0.009009
54,0.020122,0.009009
55,0.032704,0.013227
56,0.032704,0.013227
57,0.032704,0.013227
58,0.032704,0.013227
59,0.032704,0.013227
60,0.054525,0.021630
61,0.054525,0.021630
62,0.054525,0.021630
63,0.054525,0.021630
64,0.054525,0.021630
65,0.082951,0.041045
66,0.082951,0.041045
67,0.082951,0.041045
68,0.082951,0.041045
69,0.082951,0.041045
70,0.126490,0.062772
71,0.126490,0.062772
72,0.126490,0.062772
73,0.126490,0.062772
74,0.126490,0.062772
75,0.189475,0.112544
76,0.189475,0.112544
77,0.189475,0.112544
78,0.189475,0.112544
79,0.189475,0.112544
80,0.319481,0.206410
81,0.319481,0.206410
82,0.319481,0.206410
83,0.319481,0.206410
84,0.319481,0.206410
85,0.484721,0.382571
86,0.484721,0.382571
87,0.484721,0.382571
88,0.484721,0.382571
89,0.484721,0.382571
90,0.718796,0.628548
91,0.718796,0.628548
92,0.718796,0.628548
93,0.718796,0.628548
94,0.718796,0.628548
95,0.827375,0.808724
96,0.827375,0.808724
97,0.827375,0.808724
98,0.827375,0.808724
99,0.827375,0.808724
100,1.000000,1.000000
101,1.000000,1.000000
102,1.000000,1.000000
103,1.000000,1.000000
104,1.000000,1.000000
105,1.000000,1.000000
106,1.000000,1.000000
107,1.000000,1.000000
108,1.000000,1.000000
109,1.000000,1.000000
110,1.000000,1.000000
